stars,comment
5.0 out of 5 stars,"Awareness helps ! The 3 Rs of a seller - Ratings (here 98% positive), Reviews (here almost all positive) and Research (continue reading)...Appario Retail Private Limited is a joint venture between Amazon and Patni founders. Not that this should be blindly enough , but enough to mean that if Amazon itself is a stakeowner then you can rest assured to get the best in class service and product both in terms of delivery and quality. Further , with a capital of approx USD $42 million already raised , you’re sure the seller isn’t going away in just an year since it’s inception in 2017Delivery and Seller experience - Super delivery by Amazon (Prime). Ordered on 24th Jan at 4pm and got it the next day at 1pm , thats less than 24 hrs.Product was well protected and packaged. The actual package was seated atop life jackets type air pockets sleeves all around and under it.Bill has the GSTIN number well printed and legible and the serial number is same on the bill and the Mac book and is legit, as Apple’s product registration portal confirmed it.Product - it’s a MacBook, period. Been just a day but so far its running all good.Likely problem , or maybe not , will have to wait and see -1) The machine was half charged at 53% which is fine , but in less than an hours use , it drained 5% . I guess it’s because it was setting itself up and settings up things etc. and maybe after a full drain followed by a full charge it’ll begin to hold up better, let’s see.2) Apple portal shows warranty to be valid until 6 Dec 2018, that’s straight 2 months short of the standard 12 month warranty , which would give me until 23rd Jan 2019 at least !!! I’ll write to Amazon about this.Other than that , a perfect machine ! Thanks Amazon !
            "
5.0 out of 5 stars,"Amazing, love the design, love you amazon for delivery, battery backup is superb. If you have a budget of 50K then go for it. Even other laptops with i5 and 8gb ram cost you around 35 to 40K. But this little beast is best for you.
            "
5.0 out of 5 stars,"Excellent packaging !!! Just loving the beast  ..
            "
5.0 out of 5 stars,"Received the product in 2 days without prime membership. So kudos to Amazon for delivering this product in such short span of time. The packing was neatly done and there was a lot of cushion in the box to keep the laptop safe.The product itself is great. Checked Apple's website and I had exact warranty dates i.e 1 years from the date of purchase.The only thing I did not like or I would say liked a little lesser about the laptop is it's keyboard. It's plastic keys. Since I have worked on ones with aluminum this definitely feels a bit off. Though at this price I couldn't really expect for more.The available space on the 128 GB hard drive is about 100 GB (Usable). I will probably have to buy an external drive for the storage. Although I do think that once I install xcode and the other software i need on this machine there will be hardly much space left on the internal drive.The OS version is up to date on this machine.Thanks a lot Amazon I got this for 43500.!!
            "
3.0 out of 5 stars,"The Serial number on the product and the serial number on the laptop are different.
            "
5.0 out of 5 stars,"I got this product for 49999/- which was great value for money. This is my second MBA, I bought my first one from a seller from eBay for 59,999/- I used it for roughly two years (started developing problems such as trackpad issues, keys not working within a month and finally the airport/wifi stopped working all together). So far so good no defects detected till date and I am hoping it will last me at least another 2 years. Great Seller, it was well packaged and very quick delivery.
            "
5.0 out of 5 stars,"This is something like dream come true.Such a beautiful product and it's much better than seeing just into the images.Its in my hand now and Im so thankful to Amazon.in as well.Thank you.
            "
3.0 out of 5 stars,"Having used this MacBook Air for almost one week, I wish to say this is a value for money(I paid INR 57,000) for those who are wanting for a MacBook for general use. The highlights are its compact size, above average computing performance, longer battery backup. The drawback is a significantly low on display resolution. I was sadly disappointed knowing this after product was delivered. Having used a MacBook Pro for more than 2 years with a higher resolution display, I'm not able to digest using a below average resolution laptop. If the display resolution is one of your three major requirements of a laptop go for a MacBook Pro or another brand.
            "
5.0 out of 5 stars,"Great product!!! Everything is just awesome. From early delivery to cash back. Everything went so smoothly. Thanks a lot Amazon, thanks a lot Cloudtail India. Even warranty of the product started from the day of delivery. I can't just express my emotions. Go for it without any hesitation. Love it!!!
            "
5.0 out of 5 stars,"I preferred this over other good spec windows laptop, just for reason mac. 128 gb ssd was only concern as it may not be sufficient however adding external hd or flash drive will do the job for u. Overall even the screen is not full hd i did not find it much of the issue, however If u r concern about good display must for consider this as option. Additionaly over 13000 discount in last sale made this perfect deal.
            "
5.0 out of 5 stars,"I've been using windows since I purchased this one,believe me its supercool. 10/10please don't compare with similar spec devices, the os optimisation is mind blowing....its the best.
            "
5.0 out of 5 stars,"Well received. Using it almost everyday for all the purposes like watching movie, MS office, some other softwares but no issue. Working on iMac is so smooth as always.
            "
5.0 out of 5 stars,"Bought this wonderful laptop during the Amazon sale on 21st September for RS.44,990 with exchange of my old laptop for Rs.5,000, cash back of Rs.1,500 on HDFC card with pay next year 6 months no cost EMI. What else do you need more than this with 8GB ram and 1.8 GHz dual core Intel core i5 ? Well built silver colour weightless sleek apple with backlit keyboard. Never have a second thought to buy this. Just go ahead....
            "
5.0 out of 5 stars,"Best laptop for programmers. Don't waste your money on other laptops. 10 hours of battery backup is important for you. I am also doing  video editing on this laptop using final cut pro. No lags. Eclipse and intellij works properly.
            "
1.0 out of 5 stars,"Recently I purchased MacBook Air 13.3. From Amazon.I was shocked to see that on pressing ""Y"" key Z letter was getting printed  and on pressing ""Z"" key Y letter was getting printed.The customer care proactively addressed the issue and arranged a Technical Service at home. My question is - Are we  OK after spending a huge amount to receive a Defective product. So I have ordered an return request not replace Since this time I will directly walk in and buy it from authorized showroom.Guys if you still order from Amazon please make sure to check each keyboard keys and complete Keyboard functions. I think I was lucky to catch the defect at the very first go.Why Amazon is not taking care of it.Is Apple started making defective products.At the end of the day we Endusers have to suffer.I received my replacement MacBook air but unfortunately again the Apple  Authenticated seal is broken.I have not accepted the product.Guys please do Check your products since you are paying a heavy price for it.Lots of Refurbished products are also available.Amazon India is proving its failure in Indian market by selling products from Unreliable sources.
            "
5.0 out of 5 stars,"As expected what else you need other than the feel of Apple product on your hand.Sleek and elegant. Nicely packed and well before time delivery. Thanks to Amazon. A very effective battery with excellent backup of atleast 8-10 hours while you play movies and will be much more when used for office purposes. Heat sink is mind blowing. As a whole it feels like a feather on your hand.Magnetic charger make it look unique. In 1.5 hours it gets fully charged.
            "
5.0 out of 5 stars,"Bought this in deal for 45k.. no cost emi and buy nw pay next year offer.There are many tricks in Mac Operating system. Packaging and Built quality is too good. Loving this laptop.Macbook air boots up in <5 secs because of its SSD storage and battery backup is >8 hrs on continous usage. Also bought Amazon basics laptop sleeve for this device and it fits perfectly
            "
5.0 out of 5 stars,"Really enjoyed buying this...
            "
5.0 out of 5 stars,"The rating isn't for Apple's performance. I exchanged my old MacBook Air 11' (2013) for MacBook Air 13.3' (2017): and I haven't been disappointed. They both are fantastic machines, there isn't a bit of change except the screen - it is slightly bigger and better...The rating for the seller - I would give 5 star for delivery and 4 star for packaging. However, the product came with multiple scratches. I am unable to conclude whose fault it is- Apple or the reseller (in this case - Cloudtail India Pvt Ltd).I have restored my previous backup and will observe the performance over the week. If it under performs- I will report it to the authorities. If it performs well, the scratches may have been anyone's fault but can be ignored...I shall update this review in a week's time...
            "
5.0 out of 5 stars,"Thanks to amazon for this awesome product at such an affordable price. Amazon's delivery is awesome. I got my package in three layers so there were no damage and the product was delivered one day before the expected date. So this review is for those who think that prepaid online delivery of this much price is not safe. So let me tell you Amazon is completely trustworthy site, i got my product, a brand new one, no refurbished piece, and delivery is excellent. Even i was hesitating before putting this much amount of money for a prepaid order online, but believe me its completely safe.  About the product:---  This mac runs so smooth that you can run android studio with terminal , emulator and many other apps at the same time. The smooth running is because of its SSD and 8gb RAM.It has some heating issue but you can ignore them. So for a normal guy go for it without thinking twice. And for the Android and Web developers this product is awesome. Its drawback is that it has just 128 gb SSD so there may be a storage problem, otherwise it is a great product.
            "
5.0 out of 5 stars,"Thank you Amazon for the service you have given, anything I buy online only through Amazon.in no trustable website than this. I had never purchased any laptop before even I'm a technical person. I purchased it last Sunday. It took 1 day to be comfortable with Mac. It's just amazing, the speed is cool coz of its SSD storage . After all Apple is Apple. No compromise.
            "
5.0 out of 5 stars,"Pros.Design is sleek thin and light weightEasy to carry anywhereBacklit keyboardSuperfast ssd8 Hours battery lifeMacOS Optimisation2 USB ports and 1 SD card slot1 year International warrantyBought @55,450 and got 7500 cash backCons.Not full hd display (you ll used to it in one week)Storage capacity is low (128GB)
            "
5.0 out of 5 stars,"This Laptop is not for Gamers. But as a Laptop its the best one in the price range. Fast,Light Weight, Instant Response and Performance and a wonderful boot time. And over everything above a descent battery life which surpasses most of the laptops in the market.And MacOs once studied how to use. Its the best!
            "
5.0 out of 5 stars,"Awesome job by Amazon. Bought from cloudtail india. The product warranty is counted the date it is turned on for first time. It will get you a lot of attention everywhere because of that glowing logo. Go ahead without any doubt. It will last twice a Windows laptop. And after all it's a MACBOOK. Game Over Windows.
            "
4.0 out of 5 stars,"I was primarily a linux user and was little sceptical before buying but to my surprise MacBook Air is the most affordable laptop which provides the best software-hardware integration experience. I am reviewing it from a developer's perspective.ProsBacklit traditional keyboard and awesome touchpadLongest battery life (gone are the days of finding charging point in a day long conference)Apple ecosystem boasts apps(evernote, spotlight, dictionary, notification, calendar, imessages) which provides the best user experience. Moreover these apps can be easily integrated with Google ecosystem (hangout, google calendar, gmail)ConsSome packages/drivers were not installed by default (homebrew - package manager, USB tethering driver)Had to buy ethernet and HDMI adaptorsI've been using it for a month now and following points are pending for reviewI am a software developer so till now I haven't faced any issue of non availability of a particular software package/application.I haven't tested it with all guns blazing(multiple servers, databases, cache servers all installed locally)
            "
5.0 out of 5 stars,"Excellent product at this price.However the size of the laptop is much bigger than an expected 13inch handy laptop.The performance n battery life is superb for the whole day.No heating at all.Quality product.Best buy, these day you don't get a compact good performing laptop at this price.
            "
4.0 out of 5 stars,"Firstly, I got my mac for INR 44990/- from amazon. I got this delivered the very next day I placed my  order on amazon prime.Features are good and eye catching and the accessories they have provided is very much effective and have a very good look.
            "
5.0 out of 5 stars,"MacBook doesn’t require any feedback. It’s just beautiful.. Thankyou Amazon for great deals.. though there delays in product delivery, but its okk.. Thank you Apple and Thank you Amazon!!
            "
5.0 out of 5 stars,"Its amazing and really fine to use thank you Amazon
            "
5.0 out of 5 stars,"Apple products don't disappoint. The MacBook air is no exception to this rule. It does everything right just the way you could dream of, with a touch of class that's beyond any other manufacturers. I'm simply loving it and probably will never switch back to windows again!
            "
5.0 out of 5 stars,"Hi everyone …i am using this macbook from nearly 3 days fast delivery by amazon : with best packaging service. I read opinions of other users that they said the screen is not that good but believe me as my point of view it's best …no problem at all. If u planing to make an apps for Android and iOS then this is the perfect laptop for you at this price range with 12 hours of battery life , amazing design by apple … and ya it's latest macbook of apple which is launched by apple in 2017😀
            "
5.0 out of 5 stars,"Are ji, Fantastic over windows! No more waiting for booting.
            "
5.0 out of 5 stars,"Great product from Apple. Very light and portable with long lasting battery and smooth functioning. Got a real good deal from Amazon at 45k. Excellent service by Amazon prime delivery as always.
            "
5.0 out of 5 stars,"You always become cautious and careful while buying an item which falls in stretched budget and when your expectations are too high. It happened to me when I was planning to buy a laptop. Before this purchase, I went through many web pages, amazon and flipkart reviews and many others. I was maintaining a wish list for long but was not able to come on any conclusion. And of course, Macbook Air was on top of my wishlist and on amazon top sellers list. But I had few concerns.Display - Recently, one of my friend bought a Lenovo 320E Laptop and I experienced its screen. That was not full HD. That experience was so bitter that I was hesitating to buy any Non FHD laptop. And almost everyone was criticizing the display quality of Macbook Air. But I got to know, only after the purchase that the display is not poor for me anyway. Display is very good while working with all apps provided you know customisation in Mac like Zooming and all. Yeah… viewing angles are not good.Feeling – When I press keyboard, move my fingers on touchpad, carry it in my office, open and close lid, touch surface, I always feel awesome. I haven’t felt such with any machine; Never.Apple Support – Amazing. Serial no of my product was not correct on the invoice. So, I was facing difficulties in registering my device on Apple site for warranty and support. I lodged a request to Apple and they called at scheduled time. The conversation was so very touchy and helpful. That day I realised why Apple is dominating this sector.Sound – No complaint at all. Perhaps, some music lovers can find any.Verdict – I am not a techie, but I suggest, If you want to buy a laptop only for watching movies, pictures editing, gaming etc, don’t buy it. And, if you are switching from window and don’t want to WASTE time in learning of operating a new OS, in juggling with somewhat new keyboard shortcuts, DO NOT BUY it. You can become frustrated while operating an all new OS for you. You can find some compatibility issues also like non availbility of optical drive, no support for Chinese accessories and all. If you don’t use cloud space for storage, you also may face difficulty with data storing as it is having only 128 GB SSD.If you can ignore above, then this is for you. Around 50K, you will not find any machine like this. Buy it because IT JUST WORKS.
            "
1.0 out of 5 stars,"Given internal manufacture defect product and not resolving my problem
            "
5.0 out of 5 stars,"Packing quality.Product delivered before time, kudos to amazon for that, packaging was good, apple box was completely sealed.Storage-I got the 128Gb ssd model, after updating to High serria(latest OS), and installing java sdk 8, Android studio with 3 Sdks, anaconda(python), brackets and xcode 9, i am left with 79.27 gb of space.In the boxCharger with extra 3 pin powercord.It is magsafe, so you dont have to worry if someone yanks your cord.Apple Macbook Air2 apple logo stickers.Build qualitySuperior, feels very premium and high class, also the apple logo glows.DisplayMany people are comparing the display of air to the pro model, which is wrong in my opinion, if you are comig from a mid range display 1366 x 768, this display will simply blow you away with its brightness and clarity, if you have used a full hd display, you might not feel much of a difference.Battery life.Yet to test it, but initial impression is great.Mac OSComing from windows, boot up time is fast, but that can be attributed to 128ssd as well.But the OS simply seems smooth and has no lag.Processor5th gen i5 processor with 8gb ram Android studio loads in approx 10 seconds, gradle completes in 6 secs.WarrantyActivated for 1 year, genuine product, but you can login with your apple ID to support and see your warranty.
            "
5.0 out of 5 stars,"Windows laptops hangs a lot compare to Apples.  Window based laptop are not as beautiful as apple laptop. Apple MacBook Pro is easy to carry with some solid features. Initially, i thought I would face issue on resolution part however, i see no issue, except you want retina screen which doesn't make difference to me as long as i can see to my satisfaction. Features are as good as PRO.YouTube Video rendering is smooth and fast.Price is attractive compare to local store.
            "
5.0 out of 5 stars,"Brilliant piece of a machine,5 star for the looks and design5 star for the performanceIt has all the ports and battery life is just wow.. speakers not tat great.The only negative point is screen is not HD, which is very evident. (Maybe purposely avoided by Apple so they can sell Pro).Anyway I’m a happy Customer
            "
5.0 out of 5 stars,"Value for money MacBook - Ideal for students - Gifted it to my son who is a iOS programmer apart from a student.His feedback has been good
            "
5.0 out of 5 stars,"For amazon- I have been really concerned in the sale if the price would come down, but it didn’t , and suddenly now the price, after sale is lower by 5k. It’s good that amazon wants to retain a huge customer back up, but the benefits of sale should be given correctly.I have been a windows user since the past 12 years and I was very skeptic about moving to Mac OS, though I’m an iPad and an iPhone user, and I know how good products apple gives.The specs, after all it’s 5th gen and the low storage was the concern and a complete change of dynamic in the OS as well.But as I’m writing today, I would want to say that I’m more than happy in using Mac.Though only 5th gen, but the hardware software compatibility that apple provides, undoubtedly is the best, and is visible in every sense. All of my devices are now integrated in a complete manner and the Mac OS is so snappy, that there’s not even a blink of doubt if I made the correct decision or not .Yes, they do not provide MS office, but you can look through YouTube and find many links who would give you MS office 2016 for free.Pros:- Exceptionally light weight- No noise at all, because of ssd- Ssd one of the major advantages as the boot time is only 2-3 seconds.- Exceptional battery- Ambient light sensors- The best track pad among any of the premium laptops in smoothness as well as the tonnes of gestures provided by the OS- MagSafe charger allowing it to charge in less than 2 hours, and a great standby batteryCons:- For people who are really interested in watching movies and storing them, an issue, box of the limited SSD storage.- screen not full hd, maybe an issue to people who really care about the same- price, but when offers are there, definitely go for it
            "
5.0 out of 5 stars,"Ohhh Man, Simply Amazing.Bagged it at 49000. Got the delievery on 2nd Day. Thanks Amazon. This is my first macbook experience. If you want to use of just documentation then go for 128 GB otherwise get 256 GB. Because, Always using external hard isnt the good idea considering the damage possibility to your external hard disk.
            "
5.0 out of 5 stars,"There are no words to define the beauty of this product. MacBook is one of the best thing that I purchased till now. I am techie and using laptops since last 10 years and no other product can beat this. The way it is designed no other product can reach that position. In terms of performance it is very fast. One word for this awesome thing is this is not a laptop this is your hearbeat
            "
5.0 out of 5 stars,"I've been a strong apple product user since 2011, I've been using a Macbook Pro since then and I don't need to give a review of the same, as it is worth the money and lives up to its reputation. Till date it is working and is very durable, even after very rough usage.Albeit, I was looking for an upgrade of RAM and processor, and I was awed by the new macbook pro 2017, with all its magic and tricks, somethings which kept me away from a impulse buy was that it lacked USB ports, Magsafe adapter, SD card slot.These 3 things were available on Macbook Air, and hence I was wavering between MBP & MBA, untill the Amazon sale happened, I was a bit late by the time I ordered the MBA, the actual deal price was at 44,999. But When I ordered it was at 49,999. I still thought it was a decent price, as comparing its $820 pricing in US market. So I am a happy customer.Now about the product:MBA is a super fast, light weight, spec wise awesome laptop, but it is structurally thin and gives a flimsy feeling that I've never felt with other apple products. Apart from that it works like a charm, you can't game on it. But can almost do everything else on it. The battery backup is a boon.If you're thinking between MBP and MBA, I would recommend go for MBP, although it is expensive and has a few setback. Mainly because of the build. And by no means does this mean, MBA is cheap or having bad quality, I mean it is structurally not as good as MBP.Pros:+ Battery+ Light weight+ Comparatively cheaper+ Its Apple, MacOS....etc, etc..Cons:- Non Retina- Flimsy- Low storage (128GB - Usable 100 GB only, it gets filled damn fast)- Comparatively lower processing power
            "
1.0 out of 5 stars,"I have had extremely bad experiences with Apple products, they suffer from a chronic problem which is well known : overheatingThe operating temperature for Apple laptops aren't designed for 30 degree C weather. Every Apple laptop I've had has died in the Summer. several times in a year. and each time due to a component bust due to heat. It just wasn't designed with heat dissipation in mind.What's worse is that the Apple service center try to cheat you out of your warranty by blaming you of liquid spills. (Even if the LCIs aren't busted.)I got a wind of this scam when I disassembled the laptop, took pictures of the PCB and escalated it after spending hours on the crappy customer services lines.The Apple service center in two cities even tried to charge me to take a look when the laptop was under warranty!The whole experience was despicable. It's just not worth the stress and wasted hours dealing with incompetent Apple ""Geniuses"".
            "
1.0 out of 5 stars,"2nd hand laptops!!! The laptop I received already had an user on it with password etc. These are not new laptops!
            "
5.0 out of 5 stars,"My first investment in Apple. Excellent build, top class. Boot times are really mind boggling, even after installing my gold standard Avast AV. Operation is quite different to windows, and takes a while to get used to.
            "
5.0 out of 5 stars,"I don't have words to express the feeling after using this Apple product. output is really good. Battery backup is awesome, Display colors, Processor, Touch Pad, External scratch less body everything is good. If you wanna buy this product so don't even think twice. Go for it... :)
            "
5.0 out of 5 stars,"This is one of the finest and the most streamlined and  consistent product in the 50k price bracket. Bought this one for 60k from Amazon and grabbed another one from paytm mall at 45k. Having used it for 3 months I'm just impressed more than ever. I initially thought it would be unable to game as it's a MACBOOK, but to my surprise this laptop is no slouch when it comes to performance. It can easily handle games build around 2k13 at medium setting with decent framerates(bootcamp off course) The battery backup is out of this world. The design is as good as it gets. The display is fairly decent but not something 4k'ish. And it's thinner than anything in competition. In my opinion it is one of the best laptop you could buy at a price of around 50k. Look out for that price drop as it's frequently available here and there.
            "
1.0 out of 5 stars,"Initially it worked well for two months , after upgrade of os it started giving problem of reboot . A very frequent reboot cant work now need to go to support process since it shows the memory problem
            "
3.0 out of 5 stars,"My macbook is not working. It's been just 5 months since I have bought. How can I get it rectified. I have tried all the tests and result is null. Please tell me how I can use my 1 year warranty and get my macbook in working condition.
            "
4.0 out of 5 stars,"Mac air (2017) is decent. No doubt, works very smoothly. If you are going to buy Mac just for uninterrupted day to day work then it would be better to buy a HP or DELL laptop having similar budget and then installing UBUNTU OS in it with Windows 10 . Ubuntu OS runs pretty smoothly. Also, it would be a better choice than Mac air as they (hp and dell) provide much nicer graphics and higher ROM . Don't just buy because it is an Apple product.
            "
5.0 out of 5 stars,"The laptop is just so awesome!!!Being a windows user for years, was a bit skeptical on going with this, but my was totally wrong!!!My initial laptop had some screen issues but the replacement though late on the part of amazon, has proven to be an awesome companion with me getting a battery life of almost 12-13 hours...n what more the OS is fast and optimized, and it never lags or crashes like a windows computer...The screen though low in resolution produces amazing colors...n the trackpad is the best I have used till date...Now I understand, why professionals always go for apple macbooks...Bcoz once u use them u ain't going back to Windows.P.S: A star should have been deducted bcoz of amazon delaying the replacement...But the product is so good that it has won me over.
            "
5.0 out of 5 stars,"So I’ve been reading reviews and a few got me scared if I would receive the product or something else. But I need to reiterate the fact that we are dealing with Amazon here and there is no need to fear as I’ve received a brand new product and awesome laptop. Additionally this laptop will stand the test of time. It would be very rare for it to ever dissatisfy you. Great beginnings come in great packages.
            "
2.0 out of 5 stars,"MAC OS SIERRA not working  properly.  It's showing error every time.  And other applications not installed properly.
            "
5.0 out of 5 stars,"Nice Product! Have been using it since for last 3 months now. No issues faced.
            "
5.0 out of 5 stars,"Excellent Apple. I have been using windows at home since more than 10 years. Switced to mac now. By just seeing the laptop one can feel the class. Awsome features in Mac. Although requires some efforts to understand mac technology if u have been using windows before. But smooth transition so far. Only thing u need to buy ms office for mac seperately.
            "
5.0 out of 5 stars,"Excellent packing....Best laptop at such attractive prices. It’s design is sleek and thin. Display is so crisp that will never make you feel bad. Received Yesterday and i’m getting used to it as i’m a windows user for a long time. Delivery was so quick and prompt. Hats off to the seller for that mainly packing was a wow factor and I received only the original product. Must have laptop in your lifetime. Totally cherished and satisfied!! Will sure shop with amazon in future.
            "
5.0 out of 5 stars,"I have received the MacBook on yesterday morning. This is my first mac and I have been waiting for it since the day of placing the order.Cloudtail seller:I have availed the limited time offer of around 10k amazon pay balance cash back and the whopping price around 55k. So ultimately the price came around to 45k.Pros:1. It’s Apple and as all of you are aware of Apple products build quality, it’s too compact and well designed with high quality aluminium body.2. SSD replaced the old shit HDD. Dude, it’s damn too fast.3. Great for beginner level coding. If you plan to start pro level coding or if you’re a full time coder, go for Pro. Otherwise it’s perfect for the starting time.4. If you have an iPhone and your iPhone is connected to wifi, you can receive your call on mac itself. Great isn’t it?5. The trackpad is more than awesome. If you haven’t used a mac before, you will be mesmerized.Cons:The storage is 128 gigs. Out of 128, you can use 100 gigs only, the rest is used by the OS and preinstalled softwares.- to overcome this shortage don’t upgrade to 256 or 512 gigs, you’ll bankrupt yourself unless you’re the owner of RBI(pun intended). Just install software’s in macintosh drive and use SD card or iCloud for the additional videos or images or docs.Overall it’s a great laptop in this range.Hope it helps.
            "
5.0 out of 5 stars,"Macbook Air is just awesome product. Worth of money spent. Its not a laptop only, but a gadget meant for genius people. There are lot of smart features, nd overall the m/c is really robust. Stev jobs's ceation is really a wonder. Thanks Amazon for making available this product at a very competitive price tag.
            "
5.0 out of 5 stars,"Apple MacBook Air MQD32HN/A 13.3-inch Laptop 2017 (Core i5/8GB/128GB/MacOS Sierra/Integrated Graphics)Mac is new to me, still learning from books. Finish is awesome, hardware nice. OS is way off windows, I should dig into it by and by.
            "
5.0 out of 5 stars,"awesome ! this is my first apple product i was bit scared to get it online but it's worth it ! got it in a good deal tho :)
            "
5.0 out of 5 stars,"I have been a Macbook pro user for last 2 years. I came across the new Macbook air and got a chance to put hands on it. So here is a brief review on my first impressions. Basically i will be comparing this with a regular laptop of similar price range and Macbook PROAir benefits compared to Non Apple laptop:# Slim and light weight for daily travel# 10-11 hours battery backup on normal usage# Apple touch pads are awesome, smooth and responsive compared to any premium laptop# Audio quality on speakers is good, but not as loud as my Macbook Pro 13# Apple front camera works the best in low light, best for low light skype calls# SSD - Apps launch very fast despite the low power processor# Metal body construction# Mag safe charger- If you are really careless this helps very much.# Ambient light sensor that adjusts brightness automatically ( Many people are not aware of this feature)# Keep your Air closed or leave somewhere idle and check back after 2 or 3 days, you will see battery has dropped less than 3 or 4 %# The best part - Mac OS, contains all that you need, a neat calendar, Todos app, notes, Quicktime, Mail app etc. Hassle free OSAir demerits compared to Non Apple laptop:# Performance is on lower side# Good for basic usage only, internet, movies, video calls, spreadsheets, mail# You will get better display(Full HD) if you buy a 999$ Ultrabook from US (In India they come at premium)Should you consider Macbook PRO? - PRO advantagesI know a lot of people might be confused whether to go with PRO for some additional bucks. So listing benefits of pro from my experience# Force touch - More comfortable touch pad, less finger pain compared to buttons on Air, Adjustable pressure# Retina display - More pixels, Better viewing angle. Air is 1440x900 while PRO is 2560x1600 pixels# Better performance - Pro CPU is actually about 50% faster than AIR, but in real world tests, apps launch at similar speed in both PRO and Air. The difference is notable only when you run CPU intensive tasks like Programming, Video encoding, Photo editing, Raw conversion etc. Those who are not into this can go with Air and save some money.# Newer CPU -  Macbook air has not evolved much compared to PRO. The 2017 Air uses the same fifth generation CPU as the previous version (2015). But with a little upgrade in CPU speed. ie 1.6 GHz to 1.8 GHz. The newer PROs come with 7th generation Intel processors. The difference is mainly with the energy consumption.# HDMI port - You don't need display port adaptor# New keyboard - The 2016 PRO has the same keyboard as the ""Macbook"". Keys are less deeper and more wider. This makes it little more comfortable to type. Air comes with the same old keyboard as 2015 PRO# Wider touch pad - Not a big deal. But if someone loves that, its a bonus# Color options - Yes, Air is only available in Silver, PRO comes in 3 color optionsIf you think, all the above justifies the price difference between the PRO and Air, go for the PRO. The only benefit that Air offers is battery life. PRO offers 8-9 hours only, while Air offers, 11-12 hours battery.Whom Air is for?Macbook air is not a gaming machine or for hard core users. Its for people who love to watch lot of movies, work on documents, browse and some basic programming. When i say programming, Xcode works fine on Macbook air. But Software like Android studio, Photoshop seems to struggle a little on Air. But if you are once in a while user of intensive apps, you can ignore this.I will update my review with more details after a few weeks of hands on testing and usage. If you have any queries leave a comment below. I will try to answer in a day or two.[...]! Thanks
            "
1.0 out of 5 stars,"Does not switch on.
            "
5.0 out of 5 stars,"Good laptop for the price I got it. If you can get it for anything less than 50k in 2017... It's a good buy... i.e. Better than windows machine at this price even if windows 10 has become as good as Mac.Some reasons to buy it-Want to use Mac OSUmmm.... That's it.
            "
5.0 out of 5 stars,"Best product for the sweetest deal. Have been using Macbook Pro from 2011. Got this Macbook Air on Amazon Sale for an unbelievable price in exchange for the old MacBook pro. Factor in the offers from HDFC cards it makes it even sweeter. Thanks.
            "
5.0 out of 5 stars,"Product was delivered within 18hrs of purchase. Good deal for INR 39,472. Great product, long lasting backup, absolute value for what you pay.
            "
5.0 out of 5 stars,"So far it is a great experience. I am a first time Mac user, have been using windows for last 12 years...transition to Mac book was smooth and easy...Loving each and every moment of it.
            "
5.0 out of 5 stars,"I love the laptop. It has all the qualities I needed in a laptop. Swift typing keyboards, long battery life, a sensitive trackpad. Writing my book on this laptop I believe is going to be great fun.
            "
5.0 out of 5 stars,"Awesome product Purchased at a great Price 44K After Exchange at 36K 👍🏻☺️ Feeling Excited 😀
            "
5.0 out of 5 stars,"Got it at 43,208 only 🤘🏽🤘🏽🤘🏽
            "
5.0 out of 5 stars,"The Mac Air heats up while charging but that's a common problem with Macs. It doesn't do much damage to the laptop. Everything else about the laptop is better than most products in this price range. The storage is low but you can attach an SD card or keep a hard drive with you. All in all, the pros outweigh the cons on any day. A highly recommended product.
            "
5.0 out of 5 stars,"The product is great. Apple lives up to its expectation when it comes to delivering quality.I got this product at a very reasonable price on Amazon. Here I would like to compliment Amazon for the speed with which the y delivered this product to me .If I have to knit pick a con with this product, then I would say that the screen of this product could have been better. I also use iMac, there is a huge difference in terms of screen quality when it comes to comparing it with the iMac .
            "
1.0 out of 5 stars,"""Mackbook Air Logic Board-Failure""I have purchased this device last year in the month of September'2017 and my warranty expired last month and suddenly my MacBook Air has Logic Board Failure. I'm very disappointed with Apple. The Repair cost is almost the same as the price of a new laptop. When I googled about this problem I saw lot of people have the same issues with their MacBook Air.Amazon Customer Care team, please reach out to Apple Care and ask for a recall or repair for all the users who are facing the same issues. We press Apple to do look into this issue seriously.
            "
5.0 out of 5 stars,"Great device. Just started using it today and it is really light, sturdy and worth every penny for 57k
            "
5.0 out of 5 stars,"Its is just amazing . I use it for trading it is just perfect. Dear game lovers stay awsy from these . Battery packup is just amazing . I used to trade on hp laptop maximum battery back up is 4 hours . I can work on it non stop for 8 hours. They packed in a unique way .
            "
5.0 out of 5 stars,"Beast! Worth every penny! Great battery life, performance and looks. One of the best laptops ever made. My previous air lasted about 5+ years. Macbooks last really long. Go for it eyes closed if its available for anything lesser than 60k!
            "
5.0 out of 5 stars,"what a wonderful machine
            "
5.0 out of 5 stars,"Great experience with amazon.This was the first time i ordered on amazon. The delivery was made 2 days before the mentioned date.The macbook air was packaged very nicely without any damage. The machine is awesome. Everything is so legit and 1st class quality as ever, the aluminium body is great, the magsafe charger is very convenient to charge, the whole experience was exciting and great.
            "
5.0 out of 5 stars,"Bought it for 47,990 on Amazon Sale,  amazingly light and fast laptop.  Delivered as promised in a day by Amazon.  Nice steal deal at this price. Storage is on a lower side,  rest all good.
            "
